date,truth,lstm_pred
2018-01-18,481559.0,480066.548828125
2018-01-19,434918.0,449726.115234375
2018-01-20,367001.0,393737.37109375
2018-01-21,333898.0,361755.068359375
2018-01-22,348234.0,371812.06640625
2018-01-23,359953.0,370636.57421875
2018-01-24,397789.0,392499.712890625
2018-01-25,403360.0,408232.099609375
2018-01-26,390355.0,387177.8291015625
2018-01-27,348457.0,347069.3515625
2018-01-28,326238.0,335535.3828125
2018-01-29,387501.0,354351.55078125
2018-01-30,431889.0,409013.099609375
2018-01-31,422231.0,429999.03674316406
2018-02-01,392972.0,402152.908203125
2018-02-02,443518.0,385967.09033203125
2018-02-03,426770.0,441359.1477050781
2018-02-04,380323.0,394088.1796875
2018-02-05,426724.0,418177.2890625
2018-02-06,421241.0,450652.015625
2018-02-07,418215.0,412075.28515625
2018-02-08,424763.0,423213.001953125
2018-02-09,404233.0,421171.65673828125
2018-02-10,357500.0,365692.1484375
2018-02-11,337248.0,349637.451171875
2018-02-12,384094.0,381966.86328125
2018-02-13,397955.0,390817.83349609375
2018-02-14,369818.0,383259.3603515625
2018-02-15,335272.0,355152.3955078125
2018-02-16,343395.0,329475.07275390625
2018-02-17,365337.0,332900.94921875
2018-02-18,334161.0,363008.3752441406
2018-02-19,348909.0,359180.724609375
2018-02-20,324360.0,375621.322265625
2018-02-21,325259.0,328692.35595703125
2018-02-22,345087.0,344478.744140625
2018-02-23,325896.0,342222.8366699219
2018-02-24,303851.0,298434.71875
2018-02-25,295965.0,312131.5322265625
2018-02-26,340296.0,342738.734375
2018-02-27,354475.0,349135.19921875
2018-02-28,338281.0,345878.40625
2018-03-01,344032.0,334081.875
2018-03-02,367291.0,350331.91259765625
2018-03-03,349476.0,352192.07421875
2018-03-04,340154.0,335910.2880859375
2018-03-05,373271.0,371229.08203125
2018-03-06,360340.0,368234.91845703125
2018-03-07,382954.0,351336.6884765625
2018-03-08,404747.0,385758.2019042969
2018-03-09,397214.0,391746.9853515625
2018-03-10,355135.0,364320.4453125
2018-03-11,328186.0,336068.61328125
2018-03-12,390143.0,360262.203125
2018-03-13,400009.0,398647.830078125
2018-03-14,410640.0,387191.275390625
2018-03-15,385679.0,402753.25
2018-03-16,372149.0,363061.59765625
2018-03-17,350281.0,344654.23046875
2018-03-18,315263.0,337487.7978515625
2018-03-19,347276.0,338931.64453125
2018-03-20,369195.0,362844.2578125
2018-03-21,398255.0,376272.51220703125
2018-03-22,387598.0,399054.56286621094
2018-03-23,376075.0,367323.13671875
2018-03-24,368372.0,343409.3984375
